Experiment: 1,    Subject: 1 
AngleDiff   Noise  RefAngle   SubjDecision  SubjEstimate  Feedback   TrialOrder 
   -21        3       0.00         -1         19.52250         -1       1138 
   -21        3       3.33         -1         16.38850         -1        199 
   -21        3       6.67         -1         22.00163         -1        477 
   -21        3      10.00         -1         22.80118         -1        428 
   -21        3      13.33         -1         30.89429         -1         40 
   -21        3      16.67         -1         40.85225         -1         25 
   -21        3      20.00         -1         34.54120         -1       1109 
   -21        3      23.33         -1         44.41351         -1       1533 
   -21        3      26.67         -1         45.29649         -1        665 
   -21        3      30.00         -1         53.25588         -1        453 
   -21        3      33.33         -1         50.22177         -1       1630 
   -21        3      36.67         -1         58.68016         -1       1622 
   -21        3      40.00         -1         60.90581         -1       1032 
   -21        3      43.33         -1         67.30021         -1        316 
   -21        3      46.67         -1         67.68986         -1       1022 
   -21        3      50.00         -1         71.97149         -1        772 
   -21        3      53.33         -1         69.42020         -1        525 
   -21        3      56.67         -1         82.62720         -1        527 
   -21        3      60.00         -1         82.18568         -1        701 
   -21        3      63.33         -1         82.18568         -1       1243 
   -21        3      66.67         -1         90.22556         -1       1463 
   -21        3      70.00         -1         94.70865         -1         66 
   -21        3      73.33         -1         95.15470         -1        598 
   -21        3      76.67         -1        102.60081         -1       1228 
   -21        3      80.00         -1        105.55946         -1        141 
   -21        3      83.33         -1        100.87787         -1       1357 
   -21        3      86.67         -1        111.52585         -1       1462 
   -21        3      90.00         -1        107.21374         -1       1600 
   -21        3      93.33         -1        114.02692         -1       1223 
   -21        3      96.67         -1        115.89590         -1       1079 
   -21        3     100.00         -1        124.69536         -1       1437 
   -21        3     103.33         -1        126.82740         -1       1204 
   -21        3     106.67         -1        135.00000         -1       1124 
   -21        3     110.00         -1        128.09792         -1        154 
   -21        3     113.33         -1        137.13232         -1       1063 
   -21        3     116.67         -1        139.19211         -1       1461 
   -21        3     120.00         -1        138.31336         -1        836 
   -21        3     123.33         -1        133.80029         -1        248 
   -21        3     126.67         -1        142.99982         -1       1358 
   -21        3     130.00         -1        148.01685         -1       1623 
   -21        3     133.33         -1        157.99680         -1        426 
   -21        3     136.67         -1        161.97968         -1        962 
   -21        3     140.00         -1        161.97968         -1        402 
   -21        3     143.33         -1        159.62306         -1        215 
   -21        3     146.67         -1        166.54614         -1        174 
   -21        3     150.00         -1        163.36303         -1        384 
   -21        3     153.33         -1        174.84530         -1        275 
   -21        3     156.67         -1        173.51112         -1       1272 
   -21        3     160.00         -1        171.74338         -1        673 
   -21        3     163.33         -1          0.67315         -1       1156 
   -21        3     166.67         -1          6.04314         -1       1126 
   -21        3     170.00         -1          5.59839         -1       1294 
   -21        3     173.33         -1         11.30892         -1       1435 
   -21        3     176.67         -1          9.57060         -1       1421 
   -21        3     180.00         -1         19.25821         -1        690 
   -21       18       0.00         -1         21.19296         -1        887 
   -21       18       3.33         -1         14.29925         -1       1090 
   -21       18       6.67         -1         18.01870         -1        833 
   -21       18      10.00         -1         23.19749         -1        938 
   -21       18      13.33         -1         30.14627         -1       1283 
   -21       18      16.67         -1         29.93037         -1        763 
